"filename", "language", "JavaScript", "JSON", "XML", "SCSS", "HTML", "comment", "blank", "total"
"d:\WEB\Web Projects\web\st12_react\src\components\Home\Header\Header.scss", "SCSS", 0, 0, 0, 76, 0, 0, 5, 81
"d:\WEB\Web Projects\web\st12_react\src\components\Home\Header\Links.js", "JavaScript", 23, 0, 0, 0, 0, 0, 2, 25
"d:\WEB\Web Projects\web\st12_react\src\components\Home\History\Map.js", "JavaScript", 24, 0, 0, 0, 0, 0, 3, 27
"d:\WEB\Web Projects\web\st12_react\src\components\Home\Home.js", "JavaScript", 14, 0, 0, 0, 0, 0, 2, 16
"d:\WEB\Web Projects\web\st12_react\src\components\Menu\Body\Body.js", "JavaScript", 148, 0, 0, 0, 0, 0, 11, 159
"d:\WEB\Web Projects\web\st12_react\src\components\Menu\Body\MenuBody.scss", "SCSS", 0, 0, 0, 65, 0, 0, 0, 65
"d:\WEB\Web Projects\web\st12_react\src\components\Menu\Footer\Footer.js", "JavaScript", 50, 0, 0, 0, 0, 0, 1, 51
"d:\WEB\Web Projects\web\st12_react\src\components\Menu\Footer\Footer.scss", "SCSS", 0, 0, 0, 37, 0, 0, 1, 38
"d:\WEB\Web Projects\web\st12_react\src\components\Menu\Header\DropDownMenu.js", "JavaScript", 39, 0, 0, 0, 0, 0, 4, 43
"d:\WEB\Web Projects\web\st12_react\src\components\Menu\Header\Header.js", "JavaScript", 27, 0, 0, 0, 0, 0, 7, 34
"d:\WEB\Web Projects\web\st12_react\src\components\Menu\Header\Menu_Header.scss", "SCSS", 0, 0, 0, 64, 0, 0, 5, 69
"d:\WEB\Web Projects\web\st12_react\src\components\Menu\Menu.js", "JavaScript", 14, 0, 0, 0, 0, 0, 1, 15
"d:\WEB\Web Projects\web\st12_react\src\components\User\Profile.js", "JavaScript", 74, 0, 0, 0, 0, 0, 10, 84
"d:\WEB\Web Projects\web\st12_react\src\components\User\ProfilePage.js", "JavaScript", 26, 0, 0, 0, 0, 0, 4, 30
"d:\WEB\Web Projects\web\st12_react\src\components\User\ShoppingCart.js", "JavaScript", 51, 0, 0, 0, 0, 0, 8, 59
"d:\WEB\Web Projects\web\st12_react\src\components\User\ShoppingCart.scss", "SCSS", 0, 0, 0, 88, 0, 0, 2, 90
"d:\WEB\Web Projects\web\st12_react\src\components\User\ShoppingCartList.js", "JavaScript", 125, 0, 0, 0, 0, 0, 15, 140
"d:\WEB\Web Projects\web\st12_react\src\components\misc\ErrorNotice.js", "JavaScript", 10, 0, 0, 0, 0, 0, 2, 12
"d:\WEB\Web Projects\web\st12_react\src\components\misc\ErrorNotice.scss", "SCSS", 0, 0, 0, 24, 0, 1, 1, 26
"d:\WEB\Web Projects\web\st12_react\src\components\misc\Form.js", "JavaScript", 36, 0, 0, 0, 0, 0, 4, 40
"d:\WEB\Web Projects\web\st12_react\src\context\DataContext.js", "JavaScript", 2, 0, 0, 0, 0, 0, 1, 3
"d:\WEB\Web Projects\web\st12_react\src\context\UserContext.js", "JavaScript", 2, 0, 0, 0, 0, 0, 1, 3
"d:\WEB\Web Projects\web\st12_react\src\index.js", "JavaScript", 12, 0, 0, 0, 0, 3, 3, 18
"d:\WEB\Web Projects\web\st12_react\src\index.scss", "SCSS", 0, 0, 0, 13, 0, 0, 2, 15
"d:\WEB\Web Projects\web\st12_react\src\logo.svg", "XML", 0, 0, 7, 0, 0, 0, 1, 8
"d:\WEB\Web Projects\web\st12_react\src\serviceWorker.js", "JavaScript", 98, 0, 0, 0, 0, 31, 13, 142
"d:\WEB\Web Projects\web\st12_react\src\setupTests.js", "JavaScript", 1, 0, 0, 0, 0, 4, 1, 6
"Total", "-", 2446, 14748, 122, 894, 20, 67, 373, 18670
